"filename", "language", "JSON", "Markdown", "YAML", "JavaScript", "Log", "Batch", "JSON with Comments", "CSV", "CSS", "HTML", "comment", "blank", "total"
"c:\Users\SPACELABS\Desktop\Projects\Astra GUI\astra-gui\front_end\test_data\thrust_stage1.csv", "CSV", 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 1, 12
"c:\Users\SPACELABS\Desktop\Projects\Astra GUI\astra-gui\front_end\test_data\thrust_stage2.csv", "CSV", 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 1, 12
"c:\Users\SPACELABS\Desktop\Projects\Astra GUI\astra-gui\front_end\test_data\wind_sample - Copy.csv", "CSV", 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 1, 8
"c:\Users\SPACELABS\Desktop\Projects\Astra GUI\astra-gui\front_end\test_data\wind_sample.csv", "CSV", 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 1, 8
"c:\Users\SPACELABS\Desktop\Projects\Astra GUI\astra-gui\front_end\tests\README.md", "Markdown", 0, 124, 0, 0, 0, 0, 0, 0, 0, 0, 0, 57, 181
"c:\Users\SPACELABS\Desktop\Projects\Astra GUI\astra-gui\front_end\tests\cypress.config.js", "JavaScript", 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 3, 3, 35
"c:\Users\SPACELABS\Desktop\Projects\Astra GUI\astra-gui\front_end\tests\cypress\e2e\01-mission.cy.js", "JavaScript", 0, 0, 0, 58, 0, 0, 0, 0, 0, 0, 18, 18, 94
"c:\Users\SPACELABS\Desktop\Projects\Astra GUI\astra-gui\front_end\tests\cypress\e2e\02-environment.cy.js", "JavaScript", 0, 0, 0, 61, 0, 0, 0, 0, 0, 0, 31, 20, 112
"c:\Users\SPACELABS\Desktop\Projects\Astra GUI\astra-gui\front_end\tests\cypress\e2e\03-end-to-end.cy.js", "JavaScript", 0, 0, 0, 140, 0, 0, 0, 0, 0, 0, 32, 26, 198
"c:\Users\SPACELABS\Desktop\Projects\Astra GUI\astra-gui\front_end\tests\cypress\e2e\04-api-tests.cy.js", "JavaScript", 0, 0, 0, 164, 0, 0, 0, 0, 0, 0, 24, 20, 208
"c:\Users\SPACELABS\Desktop\Projects\Astra GUI\astra-gui\front_end\tests\cypress\e2e\05-simulation-mode.cy.js", "JavaScript", 0, 0, 0, 127, 0, 0, 0, 0, 0, 0, 32, 31, 190
"c:\Users\SPACELABS\Desktop\Projects\Astra GUI\astra-gui\front_end\tests\cypress\e2e\06-optimization-mode.cy.js", "JavaScript", 0, 0, 0, 222, 0, 0, 0, 0, 0, 0, 59, 57, 338
"c:\Users\SPACELABS\Desktop\Projects\Astra GUI\astra-gui\front_end\tests\cypress\fixtures\example.json", "JSON", 117, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 118
"c:\Users\SPACELABS\Desktop\Projects\Astra GUI\astra-gui\front_end\tests\cypress\fixtures\optimization-mission.json", "JSON", 298, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 299
"c:\Users\SPACELABS\Desktop\Projects\Astra GUI\astra-gui\front_end\tests\cypress\fixtures\simulation-mission.json", "JSON", 215, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 216
"c:\Users\SPACELABS\Desktop\Projects\Astra GUI\astra-gui\front_end\tests\cypress\support\commands.js", "JavaScript", 0, 0, 0, 407, 0, 0, 0, 0, 0, 0, 137, 93, 637
"c:\Users\SPACELABS\Desktop\Projects\Astra GUI\astra-gui\front_end\tests\cypress\support\e2e.js", "JavaScript", 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 10, 5, 34
"c:\Users\SPACELABS\Desktop\Projects\Astra GUI\astra-gui\front_end\tests\mock-server\README.md", "Markdown", 0, 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 86
"c:\Users\SPACELABS\Desktop\Projects\Astra GUI\astra-gui\front_end\tests\mock-server\package-lock.json", "JSON", 1236, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1237
"c:\Users\SPACELABS\Desktop\Projects\Astra GUI\astra-gui\front_end\tests\mock-server\package.json", "JSON", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 21
"c:\Users\SPACELABS\Desktop\Projects\Astra GUI\astra-gui\front_end\tests\mock-server\server.js", "JavaScript", 0, 0, 0, 132, 0, 0, 0, 0, 0, 0, 22, 32, 186
"c:\Users\SPACELABS\Desktop\Projects\Astra GUI\astra-gui\front_end\tests\package-lock.json", "JSON", 2684, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2685
"c:\Users\SPACELABS\Desktop\Projects\Astra GUI\astra-gui\front_end\tests\package.json", "JSON", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 23
"c:\Users\SPACELABS\Desktop\Projects\Astra GUI\astra-gui\front_end\tests\run-tests.bat", "Batch", 0, 0, 0, 0, 0, 62, 0, 0, 0, 0, 1, 5, 68
"Total", "-", 18619, 2071, 14, 39174, 1976, 62, 4387, 69449, 3979, 3048, 10292, 8906, 161977
